name	country_code	reg_code	reg_name	area_code	area_name	location_type	tree_level	agcode_1500000	agcode_1501000	agcode_1502000	agcode_1503000	agcode_1517000	agcode_1518000	agcode_1636000	agcode_1637000	agcode_1829000	agcode_1830000	agcode_1832000	agcode_1833000	agcode_1835000	agcode_901000	agcode_902000	agcode_917000	agcode_918000	agcode_921000	agcode_927000	agcode_934000	agcode_941000	agcode_947000	agcode_948000	agcode_1524000
Latin America and the Caribbean	904	-1		-1		2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Northern America	905	-1		-1		2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Oceania	909	-1		-1		2	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Sub-Saharan Africa	947	-1		-1		947000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Eastern Africa	910	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Burundi	108	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Comoros	174	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Djibouti	262	910	Eastern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Eritrea	232	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Ethiopia	231	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Kenya	404	910	Eastern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Madagascar	450	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Malawi	454	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Mauritius	480	910	Eastern Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Mayotte	175	910	Eastern Africa	903	Africa	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Mozambique	508	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Reunion	638	910	Eastern Africa	903	Africa	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Rwanda	646	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Seychelles	690	910	Eastern Africa	903	Africa	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Somalia	706	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
South Sudan	728	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Uganda	800	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
United Republic of Tanzania	834	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Zambia	894	910	Eastern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Zimbabwe	716	910	Eastern Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Middle Africa	911	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Angola	24	911	Middle Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Cameroon	120	911	Middle Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Central African Republic	140	911	Middle Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Chad	148	911	Middle Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Congo	178	911	Middle Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Democratic Republic of the Congo	180	911	Middle Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Equatorial Guinea	226	911	Middle Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Gabon	266	911	Middle Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Sao Tome and Principe	678	911	Middle Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Southern Africa	913	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Botswana	72	913	Southern Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Eswatini	748	913	Southern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Lesotho	426	913	Southern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Namibia	516	913	Southern Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
South Africa	710	913	Southern Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	1524
Western Africa	914	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Benin	204	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Burkina Faso	854	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Cabo Verde	132	914	Western Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Cote d'Ivoire	384	914	Western Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Gambia	270	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Ghana	288	914	Western Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Guinea	324	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Guinea-Bissau	624	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	1637	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Liberia	430	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Mali	466	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Mauritania	478	914	Western Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Niger	562	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Nigeria	566	914	Western Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Saint Helena	654	914	Western Africa	903	Africa	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	934	-1	947	948	-1
Senegal	686	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Sierra Leone	694	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Togo	768	914	Western Africa	903	Africa	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	-1	-1	-1	941	947	948	-1
Northern Africa and Western Asia	1833	-1		-1		1833000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Northern Africa	912	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Algeria	12	912	Northern Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Egypt	818	912	Northern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Libya	434	912	Northern Africa	903	Africa	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Morocco	504	912	Northern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Sudan	729	912	Northern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Tunisia	788	912	Northern Africa	903	Africa	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Western Sahara	732	912	Northern Africa	903	Africa	4	5	-1	-1	-1	-1	-1	1518	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Western Asia	922	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Armenia	51	922	Western Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Azerbaijan	31	922	Western Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Bahrain	48	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Cyprus	196	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Georgia	268	922	Western Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Iraq	368	922	Western Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Israel	376	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Jordan	400	922	Western Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Kuwait	414	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Lebanon	422	922	Western Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Oman	512	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Qatar	634	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Saudi Arabia	682	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	1524
State of Palestine	275	922	Western Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Syrian Arab Republic	760	922	Western Asia	935	Asia	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Turkey	792	922	Western Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	1524
United Arab Emirates	784	922	Western Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Yemen	887	922	Western Asia	935	Asia	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	1833	-1	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Central and Southern Asia	921	-1		-1		921000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Central Asia	5500	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Kazakhstan	398	5500	Central Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Kyrgyzstan	417	5500	Central Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Tajikistan	762	5500	Central Asia	935	Asia	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Turkmenistan	795	5500	Central Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Uzbekistan	860	5500	Central Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Southern Asia	5501	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Afghanistan	4	5501	Southern Asia	935	Asia	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	-1	941	-1	948	-1
Bangladesh	50	5501	Southern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	-1	941	-1	948	-1
Bhutan	64	5501	Southern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	-1	941	-1	948	-1
India	356	5501	Southern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	1524
Iran (Islamic Republic of)	364	5501	Southern Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Maldives	462	5501	Southern Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	1637	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Nepal	524	5501	Southern Asia	935	Asia	4	5	1500	-1	-1	-1	-1	-1	1636	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	-1	941	-1	948	-1
Pakistan	586	5501	Southern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Sri Lanka	144	5501	Southern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	-1	-1	-1	-1	902	-1	-1	921	-1	934	-1	-1	948	-1
Eastern and South-Eastern Asia	1832	-1		-1		1832000	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Eastern Asia	906	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
China	156	906	Eastern Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	-1	1524
China, Hong Kong SAR	344	906	Eastern Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	-1	-1
China, Macao SAR	446	906	Eastern Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	-1	-1
China, Taiwan Province of China	158	906	Eastern Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	-1	-1
Dem. People's Republic of Korea	408	906	Eastern Asia	935	Asia	4	5	1500	-1	-1	-1	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Japan	392	906	Eastern Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	1832	-1	-1	901	-1	-1	-1	-1	-1	-1	-1	-1	-1	1524
Mongolia	496	906	Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Republic of Korea	410	906	Eastern Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	1524
South-Eastern Asia	920	-1		-1		3	4	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Brunei Darussalam	96	920	South-Eastern Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Cambodia	116	920	South-Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Indonesia	360	920	South-Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	1524
Lao People's Democratic Republic	418	920	South-Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	1636	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Malaysia	458	920	South-Eastern Asia	935	Asia	4	5	-1	-1	1502	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Myanmar	104	920	South-Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	-1	941	-1	948	-1
Philippines	608	920	South-Eastern Asia	935	Asia	4	5	-1	1501	-1	-1	1517	-1	-1	-1	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
Singapore	702	920	South-Eastern Asia	935	Asia	4	5	-1	-1	-1	1503	-1	-1	-1	1637	-1	-1	1832	-1	-1	-1	902	-1	-1	-1	-1	934	-1	-1	948	-1
